Scientific name,Common name,Conservation Plan_1,type of agreements (source of information),,Who the partners are,number of conservation agreements,total number of partners for species
Centrocercus urophasianus,GREATER SAGE-GROUSE -Wherever found,CCA/HCP,None,,,0,0
Horkelia hendersonii,HENDERSON'S HORKELIA,,CCA,,"USFS,  USFWS",1,2
Cicindelidia highlandensis,HIGHLANDS TIGER BEETLE,,None,,N/A,0,0
Pseudanophthalmus holsingeri,HOLSINGER'S CAVE BEETLE,,None,,N/A,0,0
Pediocactus paradinei,KAIBAB PLAINS CACTUS,,CCA,,"USFWS, USFS, BLM",1,3
Stygobromus kenki,KENK'S AMPHIPOD,,None,,N/A,0,0
Iotichthys phlegethontis,LEAST CHUB,,CCA,,"Utah Department of Natural Resources,  BLM, Bureau of Reclamation, Utah Reclamation Mitigation and Conservation Commission, Confederated Tribes of the Goshute Reservation, Central Utah Water Conservancy District, Southern Nevada Water Authority",1,8
Pseudanophthalmus catorycetes,LESSER ADAMS CAVE BEETLE,,CCA,,"Southern conservation corporation,  USFWS",1,2
Polites mardon,MARDON SKIPPER,,None,,N/A,0,0
Oncorhynchus mykiss ssp.,MCCLOUD RIVER REDBAND TROUT,,CCA,,"USFWS,  USFS,  Califonia Department of Fish and Game,  John Hancock Mutual Life Insurace Company,  Bob McIntsh (Private landowner),  Sierra Pacific Industries, Hearest Corporation,  Siskiyou County Board of Supervisors",1,8
Clarkia lingulata,MERCED CLARKIA,,MOU,,"USFS, BLM, Caltrans, CDFW, Pacific Gas and Electric",1,5
Cordylanthus nidularius,MT. DIABLO BIRDÕS-BEAK,,None,,N/A,0,0
Ambrysus funebris,NEVARES SPRING NAUCORID BUG (=FURNACE CREEK),,"Furnace Creek Springs Restoration and Adaptive Management Plan, Death Valley National Park, California",,"Department of Forest and Rangeland Stewardship Colorado State University, Desert Research Institute, U.S. National Park Service Death Valley National Park",1,3
Sylvilagus transitionalis,NEW ENGLAND COTTONTAIL,,"CCAA,  CCAA",,"USGS, NRCS, USFWS, Mashpee Wampanoag Tribe, Lyme Land Conservation Trust, American Forest Foundation, Woodcock Limited, WCS Queens Zoo, Wells National Esturarine Research Reserve, Roger Williams Park Zoo, Audubon Connecticut, Connecticut Audubon Society, Open Space Institute, Audubon New York, Quail Forever, Pheasants Forever, Doris Duke Charitable Foundation, Wildlife Conservation Society, Amrican Bird Conservancy, Quality Deer Management Association, Sustainable Forestry Initiative, White Memorial Foundation, National Fish and Wildlife Foundation, Ruffed Grouse Society/American Woodcock Society, National Wild Turkey Federation, Wildlife Management Institute, New Engalnd Cottontail Conservation Initiative, Northeast Forest and Fire Management, Lyme Timber Company, Monterey Preservation Land Trust, Narrow River Land Trust, Nantucket Conservation Foundation, Scarborough Land Trust, Avalonia Land Conservancy, Orenda Wildlife Land Trust, Trustees of Reservations, Berkshire Natural Resources Council, York Land Trust, Becket Land Trust, Trust for Public Land, Massachusetts National Guard, New York Division of Fish Wildlife and Marine Resources, Northeast Association of Fish and Wildlife Agencies, Rhode Island Division of Fish and Wildlife, Connecticute Department of Energy & Environmental Protection, Massachusetts Division of Fisheries and Wildlife, New Hampshire Fish and Game Department, Maine Department of Inland Fisheries & Wildlife, University of Rhode Island College of Envionment and Life Sciences, University of New Hampshire, University of New Hampshire Cooperative Extenson, New Hampshire Fish and Game Department",2,53
Coccoloba rugosa,NO COMMON NAME,,None,,N/A,0,0
Hazardia orcuttii,ORCUTTS'S HAZARDIA,,"HCP,  HCP",,"City of NCCP, USFWS, CDFG, California Resources Agency ",2,8
Sidalcea covillei,OWENS VALLEY CHECKERMALLOW,,None,,N/A,0,0
Pyrgulopsis morrisoni,PAGE SPRINGSNAIL,,CCA,,"Arizona Game and Fish Department, USFWS",1,2
Limnanthes gracilis parishii,PARISH'S MEADOWNFOAM,, ,,N/A,0,0
Lithobates subaquavocalis,RAMSEY CANYON LEOPARD FROG,,Recovery Plan,,,,
Abronia alpina,RAMSHAW MEADOWS SAND-VERBANA,,None,,N/A,0,0
Collomia rawsoniana,RAWSONÕS FLAMING TRUMPET,,None,,N/A,0,0
Lithobates onca,RELICT LEOPARD FROG,,CCA,,"USFWS,  Nevada Department of Wildlife",1,2
Oncorhynchus clarkii virginalis,RIO GRANDE CUTTHROAT TROUT,,"Vermejo CCAA,  Agreement and Strategy for the Conservation of Rio Grande Cutthroat Trout",,"Colorado Parks and Wildlife (CPW), New Mexico Department of Game and Fish (NMDGF), USFS, USFWS, Mescalero Apache Nation, Jicarilla Apache Nation, Taos Pueblo, National Park Service (NPS), BLM,  Trout Unlimited, Vermejo Park Ranch, Colorado Division of Parks and Wildlife ",2,14
Euphydryas anicia cloudcrofti,SACRAMENTO MOUNTAINS CHECKERSPOT BUTTERFLY,,"MOU, Conservation Plan ",,"Village of Cloudcroft, Otero County, Lincoln National Forest, USFWS, USFWS regional office, USFWS Ecological services New Mexico Field Office, USFS, Village of Cloudcroft",2,9
Lotus argophyllus adsurgens,SAN CLEMENTE ISLAND SILVER HOSACKIA,,None,,N/A,0,0
" 
Chorizanthe parryi var fernandina",SAN FERNANDO VALLEY SPINEFLOWER,CCA,no docs,,,0,0
Euphilotes pallescens arenamontana,SAND MOUNTAIN BLUE BUTTERFLY,CCA,no docs,,,0,0
Dudleya blochmaniae insularis,SANTA ROSA ISLAND DUDLEYA,,None,,N/A,0,0
Dudleya blochmaniae brevifolia,SHORT-LEAVED DUDLEYA,HCP,,,"California Department of Fish and Game, San Diego Gas & Electric Company, United States Fish and Wildlife Service",1,3
Moxostoma sp 2,SICKLEFIN REDHORSE,CCA,CCA,,"North Carolina Wildlife Resources Commission, Duke Energy Carolinas, Eastern Band of Cherokee Indians, Tennessee Valley Authority, Georgia Department of Natural Resources, USFWS ",1,10
Lepidium papilliferum,SLICKSPOT PEPPERGRASS,,?,,"Office of Species Conservation,  Idaho Department of Fish & Game,  Idaho Department of Lands,  Idaho Army National Guard,  Nongovernmental Cooperator Representative,  Nongovernmental Cooperator Representative, BLM",2,14
Potentilla basaltica,SOLDIER MEADOW CINQUEFOIL,,Recovery Plan,,"BLM,  Nevada Division of Wildlife, USFWS",1,3
Urocitellus endemicus,SOUTHERN IDAHO GROUND SQUIRREL,,"CCAA,  CCAA",,"Idaho Department of Fish and Game (JDFG), Idaho Governor's Office of Species Conservation (OSC), USFWS, Soulen Livestock Company Inc. (Soulen Livestock).",2,7
Dudleya sp.,SP. NOV. INED. (MUNCHKIN) DUDLEYA,,no docs,,,0,0
Paysonia stonensis,STONES RIVER BLADDERPOD,CCA,None,,N/A,0,0
Eriogonum argophyllum,SULPHUR SPRINGS BUCKWHEAT,,None,,N/A,0,0
Cirsium rhothophilum,SURF THISTLE,,None,,N/A,0,0
Pseudanophthalmus inexpectatus,SURPRISING CAVE BEETLE,CCA,None,,"USFWS, NPS",1,2
Vulpes velox,SWIFT FOX,,,,,0,0
Rorippa subumbellata,TAHOE YELLOW CRESS,CCA,"MOU,  Conservation Strategy ",,"California Department of Fish and Wildlife, California State Lands Commission, California Department of Parks and Recreation (California State Parks), California Tahoe Conservancy, League to Save Lake Tahoe, Nevada Division of Forestry, Nevada Division of State Lands, Nevada Division of State Parks, Nevada Natural Heritage Program, Tahoe Lakefront Owners’ Association, Tahoe Regional Planning Agency, USFWS, USFS, California Department of Fish and Wildlife, California State Lands Commission, California Department of Parks and Recreation (California State Parks), California Tahoe Conservancy, League to Save Lake Tahoe, Nevada Division of Forestry, Nevada Division of State Lands, Nevada Division of State Parks, Nevada Natural Heritage Program, Tahoe Lakefront Owners’ Association, Tahoe Regional Planning Agency",2,26
Castilleja elongata,TALL PAINTBRUSH,,None,,N/A,0,0
Delphinium variegatum thornei,THORNEÕS ROYAL LARKSPUR,,None,,N/A,0,0
Calochortus umpquaensis,UMPQUA MARIPOSA LILY,CCA,Draft Environmental Impact Statement for the revision of the resource management plans of the Western Oregon Bureau of Land Management districts,,"USDA, USFWS, BLM",1,3
Zaitzevia thermae,WARM SPRINGS ZAITZEVIAN RIFFLE BEETLE,CCA,CCA,,"USFWS,  Montana State University,  Montana Fish Wildlife & Parks",1,4
Urocitellus washingtoni,WASHINGTON GROUND SQUIRREL,HCP,"HCP,  CCAA",,"Foster Creek Conservation District (FCCD), Threemile Canyon Farms, The Nature Conservancy,  General Electric, USFWS",2,7
Polemonium pectinatum,WASHINGTON JACOB'S-LADDER,CCA,None,,N/A,0,0
Nysius wekiuicola,WEKIU BUG,None,,,University of Hawaii,1,1
Delphinium viridescens,WENATCHEE LARKSPUR,None,,,,0,0
Sonorella macrophallus,WET CANYON TALUSSNAIL,,Conservation Assessment,,"USDA Forest Service,  USFWS,  Arizona Game and Fish Department",1,3
Penstemon scariosus albifluvis,WHITE RIVER BEARDTONGUE,,Conservation Agreement,,"Uintah County, Rio Blanco County, the Utah School and Institutional Trust Lands Administration, Utah Governor’s Public Lands Policy Coordination Office, Utah Division of Wildlife Resources, BLM, FWS",1,6
Aliciella caespitosa,WONDERLAND ALICE-FLOWER,,CCA,,"U.S.D.A. Forest Service, National Park Service,  Utah State Office , USFWS, BLM",1,4
Synthliboramphus hypoleucus,XANTUS'S MURRELET,,None,,N/A,0,0
Solidago plumosa,YADKIN RIVER GOLDENROD,CCA,CCA,,"Alcoa Power Generating Inc, USFWS",1,3
