"","scientific_name","common_name","partner_names","total","FedAg_w_collab","wo_FedAg_w_collab","count_w_FedAg_wo_collab","count_wo_FedAg_wo_collab","count_collab","count_w_FedAg_w_collab","count_wo_FedAg_w_collab"
"81","Zaitzevia thermae","WARM SPRINGS ZAITZEVIAN RIFFLE BEETLE","USFWS,  Montana State University,  Montana Fish Wildlife and Parks",3,"USFWS Montana Ecological Services Office,  USFWS Bozeman Fish Technology center, Montana State University,  Montana Fish Wildlife and Parks,EPA, Army Corps of Engineers (COE), neighboring land owners","USFWS, Montana State University,  Montana Fish Wildlife and Parks,EPA, Army Corps of Engineers (COE), neighboring land owners",4,3,3,7,6
"82","Urocitellus washingtoni","WASHINGTON GROUND SQUIRREL","Foster Creek Conservation District, Threemile Canyon Farms, The Nature Conservancy, Portland General Electric, USFWS, Washington State Department of Fish and Wildlife, NRCS, Farm Service Agency, Washington State Department of Natural Resources, BLM",10,"Foster Creek Conservation District, Threemile Canyon Farms, The Nature Conservancy, Portland General Electric, USFWS, Washington State Department of Fish and Wildlife, NRCS, Farm Service Agency, Washington State Department of Natural Resources, BLM,South Douglas Conservation District, agricultural landowners and other stakeholders","Foster Creek Conservation District, Threemile Canyon Farms, The Nature Conservancy, Portland General Electric, USFWS, Washington State Department of Fish and Wildlife, NRCS, Farm Service Agency, Washington State Department of Natural Resources, BLM,South Douglas Conservation District, agricultural landowners and other stakeholders",10,10,2,12,12
"83","Polemonium pectinatum","WASHINGTON JACOB'S-LADDER",NA,NA,"","",NA,NA,NA,0,0
"84","Nysius wekiuicola","WEKIU BUG","University of Hawaii",1,"University of Hawaii,Group 70 International Inc","University of Hawaii,Group 70 International Inc",1,1,1,2,2
"85","Delphinium viridescens","WENATCHEE LARKSPUR",NA,NA,"","",NA,NA,NA,0,0
"86","Sonorella macrophallus","WET CANYON TALUSSNAIL","USFS,  USFWS,  Arizona Game and Fish Department",3,"USFS Coronado National Forest Safford Ranger District, USFWS Arizona Ecological Services Field Office,  Arizona Game and Fish Department","USFS, USFWS,  Arizona Game and Fish Department",3,3,NA,3,3
"87","Penstemon scariosus albifluvis","WHITE RIVER BEARDTONGUE","Uintah County, Rio Blanco County,  Utah School and Institutional Trust Lands Administration, Utah Governors Public Lands Policy Coordination Office, Utah Division of Wildlife Resources, BLM, USFWS",7,"Uintah County, Rio Blanco County,  Utah School and Institutional Trust Lands Administration, Utah Governors Public Lands Policy Coordination Office, Utah Division of Wildlife Resources, BLM Vernal Field Office, BLM White River Field Office, USFWS Utah Ecological Services Field Office, USFWS Western Colorado Field Office,USGS, ESMF funds, Uintah County, SITLA, Private entities, Red Butte Garden Red Leaf Resources Inc, Enefit American Oil","Uintah County, Rio Blanco County,  Utah School and Institutional Trust Lands Administration, Utah Governors Public Lands Policy Coordination Office, Utah Division of Wildlife Resources, BLM, USFWS,USGS, ESMF funds, Uintah County, SITLA, Private entities, Red Butte Garden Red Leaf Resources Inc, Enefit American Oil",9,7,7,16,14
"88","Aliciella caespitosa","WONDERLAND ALICE-FLOWER","USFS, NPS, USFWS, BLM",5,"USFS Fishlake National Forest, BLM Utah State Office, BLM Richfield Field Office, BLM Price Field Office, NPS Capitol Reef National Park, USFWS Utah Field Office","USFS, BLM, NPS, USFWS",6,4,NA,6,4
"89","Synthliboramphus hypoleucus","XANTUS'S MURRELET",NA,NA,"","",NA,NA,NA,0,0
"90","Solidago plumosa","YADKIN RIVER GOLDENROD","Alcoa Power Generating Inc, USFWS",2,"Alcoa Power Generating Inc, USFWS Service Asheville Field Office,North Carolina Plant Conservation Program ","Alcoa Power Generating Inc, USFWS,North Carolina Plant Conservation Program ",2,2,1,3,3
"91",NA,NA,NA,NA,"","",NA,NA,NA,0,0
"92",NA,NA,NA,NA,"","",NA,NA,NA,0,0
