"","Scientific.name","agreement.number","partner.in.agreement","X1..Land.Water.Management","X2..Species.Management","X3..Awareness.raising","X4..law.enforcement.and.prosecution","X5..livelihood..economic.and.moral.incentrives","X6..Conservation.Design.and.Planning","X7..Legal.and.Policy.frameworks","X8..Research.and.monitoring","X9..Education.and.Training","X10..Institutional.Development","funding","Common.name","type_of_org"
"157","Urocitellus endemicus","doc 1 CCAA","Idaho Department of Fish and Game",0,1,0,0,0,1,1,1,0,0,1,"SOUTHERN IDAHO GROUND SQUIRREL","SW"
"158","Urocitellus endemicus","doc 1 CCAA","Idaho Governor's Office of Species Conservation",0,1,0,0,0,1,0,0,0,0,1,"SOUTHERN IDAHO GROUND SQUIRREL","SG"
"159","Urocitellus endemicus","doc 1 CCAA","Private landowner",1,1,0,0,0,0,0,0,0,1,1,"SOUTHERN IDAHO GROUND SQUIRREL","P"
"160","Urocitellus endemicus","doc 1 CCAA","USFWS",0,1,0,0,0,1,1,1,0,0,1,"SOUTHERN IDAHO GROUND SQUIRREL","USFWS"
"161","Urocitellus washingtoni","doc 1 Douglas County Multiple Species General Conservation Plan","BLM",1,0,0,0,0,1,0,1,1,1,0,"WASHINGTON GROUND SQUIRREL","BLM"
"162","Urocitellus washingtoni","doc 1 Douglas County Multiple Species General Conservation Plan","Farm Service Agency",0,0,0,0,0,0,0,0,0,1,0,"WASHINGTON GROUND SQUIRREL","FO"
"163","Urocitellus washingtoni","doc 1 Douglas County Multiple Species General Conservation Plan","Individual Property HCP Development",1,1,0,0,0,1,1,0,0,1,0,"WASHINGTON GROUND SQUIRREL","C"
"164","Urocitellus washingtoni","doc 1 Douglas County Multiple Species General Conservation Plan","Natural Resources Conservation Service",0,0,1,0,1,0,1,1,1,1,0,"WASHINGTON GROUND SQUIRREL","FO"
"165","Urocitellus washingtoni","doc 1 Douglas County Multiple Species General Conservation Plan","The Nature Conservancy",1,0,1,0,0,1,0,1,1,1,0,"WASHINGTON GROUND SQUIRREL","N"
"166","Urocitellus washingtoni","doc 1 Douglas County Multiple Species General Conservation Plan","USFWS",0,0,0,0,0,1,1,1,1,1,1,"WASHINGTON GROUND SQUIRREL","USFWS"
"167","Urocitellus washingtoni","doc 1 Douglas County Multiple Species General Conservation Plan","Washington State Department of Fish and Wildlife",1,0,1,0,0,1,1,1,1,1,1,"WASHINGTON GROUND SQUIRREL","SW"
"168","Urocitellus washingtoni","doc 1 Douglas County Multiple Species General Conservation Plan","Washington State Department of Natural Resources",1,0,0,0,0,1,1,1,0,1,0,"WASHINGTON GROUND SQUIRREL","SL"
"169","Urocitellus washingtoni","doc 2 Multi-Species Candidate Conservation Agreement with Assurances","Oregon Department of Fish and Wildlife",1,0,0,0,0,0,1,1,0,1,0,"WASHINGTON GROUND SQUIRREL","SW"
"170","Urocitellus washingtoni","doc 2 Multi-Species Candidate Conservation Agreement with Assurances","Portland General Electric",1,0,0,0,0,1,0,1,0,1,0,"WASHINGTON GROUND SQUIRREL","C"
"171","Urocitellus washingtoni","doc 2 Multi-Species Candidate Conservation Agreement with Assurances","The Nature Conservancy",1,0,0,0,0,1,0,1,0,1,0,"WASHINGTON GROUND SQUIRREL","N"
"172","Urocitellus washingtoni","doc 2 Multi-Species Candidate Conservation Agreement with Assurances","Threemile Canyon Farms",1,0,0,0,0,1,0,1,0,1,1,"WASHINGTON GROUND SQUIRREL","C"
"173","Urocitellus washingtoni","doc 2 Multi-Species Candidate Conservation Agreement with Assurances","USFWS",0,0,0,0,0,0,1,0,0,0,0,"WASHINGTON GROUND SQUIRREL","USFWS"
"174","Zaitzevia thermae","doc 1 Conservation Agreement and Strategy","Bozeman Fish Technology center (USFWS)",1,1,1,0,0,1,0,0,1,1,1,"WARM SPRINGS ZAITZEVIAN RIFFLE BEETLE","USFWS"
"175","Zaitzevia thermae","doc 1 Conservation Agreement and Strategy","EPA",0,0,0,0,0,0,0,0,0,0,0,"WARM SPRINGS ZAITZEVIAN RIFFLE BEETLE","FO"
"176","Zaitzevia thermae","doc 1 Conservation Agreement and Strategy","Montana State University",0,1,0,0,0,1,0,0,0,1,1,"WARM SPRINGS ZAITZEVIAN RIFFLE BEETLE","R"
"177","Zaitzevia thermae","doc 1 Conservation Agreement and Strategy","neighboring land owners",0,0,0,0,0,0,0,0,0,0,0,"WARM SPRINGS ZAITZEVIAN RIFFLE BEETLE","P"
"178","Zaitzevia thermae","doc 1 Conservation Agreement and Strategy","U.S. Army Corps of Engineers",0,0,0,0,0,0,0,0,0,0,0,"WARM SPRINGS ZAITZEVIAN RIFFLE BEETLE","M"
"179","Zaitzevia thermae","doc 1 Conservation Agreement and Strategy","USFWS",0,0,0,0,0,0,0,0,0,0,0,"WARM SPRINGS ZAITZEVIAN RIFFLE BEETLE","USFWS"
"180","Nerodia erythrogaster neglecta","doc 1 website","Illinois Department of Natural Resources",1,0,0,1,0,1,1,0,1,0,0,"COPPERBELLY WATER SNAKE","SW"
"181","Nerodia erythrogaster neglecta","doc 1 website","Illinois Department of Natural Resources",1,0,0,1,0,1,1,0,1,0,0,"COPPERBELLY WATER SNAKE","SL"
"182","Nerodia erythrogaster neglecta","doc 1 website","Indiana Department of Natural Resources",1,0,0,1,0,1,1,0,1,0,0,"COPPERBELLY WATER SNAKE","SW"
"183","Nerodia erythrogaster neglecta","doc 1 website","Indiana Department of Natural Resources",1,0,0,1,0,1,1,0,1,0,0,"COPPERBELLY WATER SNAKE","SL"
"184","Nerodia erythrogaster neglecta","doc 1 website","Kentucky Natural Resources and Environmental Cabinet",1,0,0,1,0,1,1,0,1,0,0,"COPPERBELLY WATER SNAKE","SW"
"185","Nerodia erythrogaster neglecta","doc 1 website","Kentucky Natural Resources and Environmental Cabinet",1,0,0,1,0,1,1,0,1,0,0,"COPPERBELLY WATER SNAKE","SL"
"186","Oncorhynchus clarkii virginalis","doc 1 CCAA","Colorado Division of Parks and Wildlife",1,1,0,0,0,0,0,1,0,1,0,"RIO GRANDE CUTTHROAT TROUT","SW"
"187","Oncorhynchus clarkii virginalis","doc 1 CCAA","Colorado Division of Parks and Wildlife",1,1,0,0,0,0,0,1,0,1,0,"RIO GRANDE CUTTHROAT TROUT","SL"
"188","Thymallus arcticus","doc 1 CCAA","Montana Fish Wildlife and Parks",1,0,0,0,0,1,1,0,0,1,1,"ARCTIC GRAYLING- UPPER MISSOURI RIVER DPS","SW"
"189","Thymallus arcticus","doc 1 CCAA","Montana Fish Wildlife and Parks",1,0,0,0,0,1,1,0,0,1,1,"ARCTIC GRAYLING- UPPER MISSOURI RIVER DPS","SL"
"190","Zaitzevia thermae","doc 1 Conservation Agreement and Strategy","Montana Fish Wildlife and Parks",0,0,0,0,0,1,0,0,0,1,1,"WARM SPRINGS ZAITZEVIAN RIFFLE BEETLE","SW"
"191","Zaitzevia thermae","doc 1 Conservation Agreement and Strategy","Montana Fish Wildlife and Parks",0,0,0,0,0,1,0,0,0,1,1,"WARM SPRINGS ZAITZEVIAN RIFFLE BEETLE","SL"
"192","Horkelia hendersonii","doc 1","Oregon Plant Conservation Program",0,0,0,0,0,0,0,0,0,0,0,"HENDERSON'S HORKELIA","SG"
"193","Horkelia hendersonii","doc 1","Oregon Plant Conservation Program",0,0,0,0,0,0,0,0,0,0,0,"HENDERSON'S HORKELIA","R"
"194","Fallicambarus gordoni","doc 1 CCA","Mississippi Department of Wildlife & Mississippi Museum of Natural Sciences",0,0,1,0,0,0,0,0,0,0,0,"CAMP SHELBY BURROWING CRAYFISH","SW"
"195","Fallicambarus gordoni","doc 1 CCA","Mississippi Department of Wildlife & Mississippi Museum of Natural Sciences",0,0,1,0,0,0,0,0,0,0,0,"CAMP SHELBY BURROWING CRAYFISH","R"
