Scientific name,Common name,Notice of candidate status,agreement before Notice of candidate status? (Y/N),Year removed,agreement before listing? (Y/N) **unsure which is listing date (this comepares to column G),Year of agreement doc 1,Year of agreement doc 2,Year of agreement doc 3,Taxa,,note redundancy,Who the partners are,agreement no,partner no total
Ursus americanus floridanus,FLORIDA BLACK BEAR,9/30/1993        58 FR 51144,,1998,N,1999,,,Insect,,,USFS,1,1
Boechera pusilla,FREMONT COUNTY ROCK CRESS,12/15/1980    45 FR 82480,,1999,,,,,Flowering Plant,,,"BLM, Wyoming Natural Diversity Database (WYNDD)",1,2
Dalea tentaculoides,GENTRY'S INDIGOBUSH,36458,,1998,,date?,,,Flowering Plant,,,"USFWS, Tohono O’odham Nation",0,0
Symphyotrichum georgianum,GEORGIA ASTER,9/10/2009      74 FR 46521,,2014,?,2014,,,Flowering Plant,,,"USFWS, Clemson University, Georgia Department of Natural Resources, Georgia Department of Transportation, Georgia Power, Mecklenburg County Park and Recreation North Carolina, National Park Service, North Carolina Department of Agriculture & Consumer Services Plant Conservation Program, USFS ",1,9
Astragalus anserinus,GOOSE CREEK MILKVETCH,"Graham's: 07/01/1975 

40 FR 27924          White River:  11/28/1983 

48 FR 53640",,2015,,date?,,,Flowering Plant,,,"BLM,  FWS",1,2
Penstemon grahamii,GRAHAM BEARDTONGUE,10/30/2001     66 FR 54807,,2014,?,Jul-14,,,Flowering Plant,,,"Uintah County, Rio Blanco County, Utah School and Institutional Trust Lands Administration, Utah Governor’s Public Lands Policy Coordination Office, Utah Division of Wildlife Resources, BLM, FWS",1,8
Pseudanophthalmus pholeter,GREATER ADAMS CAVE BEETLE,3/23/2010      75 FR 13910,,2005,?,Jan-05,,,Insect,,,"Southern conservation corporation,  USFWS",1,2
Centrocercus urophasianus,GREATER SAGE-GROUSE - BI-STATE POPULATION,#N/A,,2015,,,,,Snail,,,,0,0
Centrocercus urophasianus,GREATER SAGE-GROUSE - Columbia basin DPS,#N/A,,2015,Y,2008,,,Reptile,,,,0,0
Centrocercus urophasianus,GREATER SAGE-GROUSE -Wherever found,Both on candidate list until 1993 as C2s. Discontinued as candidates when C2 category eliminated,,2015,,,,,Insect,,,,0,0
Horkelia hendersonii,HENDERSON'S HORKELIA,11/21/1991    56 FR 58804,,2003,Y,2002,,,Insect,,,"USFS,  USFWS",1,2
Cicindelidia highlandensis,HIGHLANDS TIGER BEETLE,11/15/1994         59 FR 58981,,2016,,,,,Flowering Plant,,,N/A,0,0
Pseudanophthalmus holsingeri,HOLSINGER'S CAVE BEETLE,12/15/1980    45 FR 82480,,2005,,,,,Insect,,,N/A,0,0
Pediocactus paradinei,KAIBAB PLAINS CACTUS,11/10/2010    75 FR 69222,,1998,N,2015,,,Flowering Plant,,,"USFWS, USFS, BLM",1,3
Stygobromus kenki,KENK'S AMPHIPOD,40351,,2017,,,,,Insect,,,N/A,0,0
Iotichthys phlegethontis,LEAST CHUB,10/30/2001     66 FR 54807,,2014,Y,2005,,,Insect,,,"Utah Department of Natural Resources,  BLM, Bureau of Reclamation, Utah Reclamation Mitigation and Conservation Commission, Confederated Tribes of the Goshute Reservation, Central Utah Water Conservancy District, Southern Nevada Water Authority",1,8
Pseudanophthalmus catorycetes,LESSER ADAMS CAVE BEETLE,36458,,2005,?,Jan-05,,,Flowering Plant,,,"Southern conservation corporation,  USFWS",1,2
Polites mardon,MARDON SKIPPER,11/15/1994         59 FR 58981,,2012,N,2015,,,Fish,,,N/A,0,0
Oncorhynchus mykiss ssp.,MCCLOUD RIVER REDBAND TROUT,"12/15/1980    45 FR 82480 (also was in the 7/1/1975 NOR, 40 FR 27824, ""Smithsonian Report"")",,1999,Y,1998,,,Insect,,,"USFWS,  USFS,  Califonia Department of Fish and Game,  John Hancock Mutual Life Insurace Company,  Bob McIntsh (Private landowner),  Sierra Pacific Industries, Hearest Corporation,  Siskiyou County Board of Supervisors",1,8
Clarkia lingulata,MERCED CLARKIA,12/15/1980    45 FR 82480,,1997,Y,1994,,,Flowering Plant,,,"USFS, BLM, Caltrans, CDFW, Pacific Gas and Electric",1,5
Cordylanthus nidularius,MT. DIABLO BIRDÕS-BEAK,5/4/2004         69 FR 24880,,1996,(published information might be different but action/relevance depends on when state park area was protected,2006,,,Crustacean,,,N/A,0,0
Ambrysus funebris,NEVARES SPRING NAUCORID BUG (=FURNACE CREEK),9/12/2006      71 FR 53756,,2015,,2012,,,Insect,,,"Department of Forest and Rangeland Stewardship Colorado State University, Desert Research Institute, U.S. National Park Service Death Valley National Park",1,3
Sylvilagus transitionalis,NEW ENGLAND COTTONTAIL,2/21/1990      55 FR 6184 (NOR),,2015,"?, Y",Feb-15,2011,2014,Insect,,USFWS,"USGS, NRCS, USFWS, Mashpee Wampanoag Tribe, Lyme Land Conservation Trust, American Forest Foundation, Woodcock Limited, WCS Queens Zoo, Wells National Esturarine Research Reserve, Roger Williams Park Zoo, Audubon Connecticut, Connecticut Audubon Society, Open Space Institute, Audubon New York, Quail Forever, Pheasants Forever, Doris Duke Charitable Foundation, Wildlife Conservation Society, Amrican Bird Conservancy, Quality Deer Management Association, Sustainable Forestry Initiative, White Memorial Foundation, National Fish and Wildlife Foundation, Ruffed Grouse Society/American Woodcock Society, National Wild Turkey Federation, Wildlife Management Institute, New Engalnd Cottontail Conservation Initiative, Northeast Forest and Fire Management, Lyme Timber Company, Monterey Preservation Land Trust, Narrow River Land Trust, Nantucket Conservation Foundation, Scarborough Land Trust, Avalonia Land Conservancy, Orenda Wildlife Land Trust, Trustees of Reservations, Berkshire Natural Resources Council, York Land Trust, Becket Land Trust, Trust for Public Land, Massachusetts National Guard, New York Division of Fish Wildlife and Marine Resources, Northeast Association of Fish and Wildlife Agencies, Rhode Island Division of Fish and Wildlife, Connecticute Department of Energy & Environmental Protection, Massachusetts Division of Fisheries and Wildlife, New Hampshire Fish and Game Department, Maine Department of Inland Fisheries & Wildlife, University of Rhode Island College of Envionment and Life Sciences, University of New Hampshire, University of New Hampshire Cooperative Extenson, New Hampshire Fish and Game Department",2,53
Coccoloba rugosa,NO COMMON NAME,38111,,1997,,,,,Insect,,,N/A,0,0
Hazardia orcuttii,ORCUTTS'S HAZARDIA,9/27/1985; 50 FR 39526,,2013,Y,2004,2005,,Flowering Plant,,,"City of NCCP, USFWS, CDFG, California Resources Agency ",2,8
Sidalcea covillei,OWENS VALLEY CHECKERMALLOW,2/28/1996      61 FR 7596,,1996,,,,,Flowering Plant,,,N/A,0,0
Pyrgulopsis morrisoni,PAGE SPRINGSNAIL,7/1/1975        40 FR 27924,,2015,Y,2009,,,Snail,,,"Arizona Game and Fish Department, USFWS",1,2
Limnanthes gracilis parishii,PARISH'S MEADOWNFOAM,"11/15/1994, 59 FR 58982",,1997,,2003,,,Flowering Plant,,,N/A,0,0
Lithobates subaquavocalis,RAMSEY CANYON LEOPARD FROG,2/21/1990      55 FR 6186,,1997,N,2002,,,Mammal,,,"The Nature Conservancy, Arizona State University, Western New Mexico University, USFS, New Mexico Department of Fish and Fame, AGFD, Phoenx Zoo, Beattys Guest Ranch, Malpai Borderlands Group (<-- same? Animas Foundation), Tucson Herpetological Society, BLM, Savannah River Ecology Lab, New Mexico Cattle Growers Association, Sky Island Alliance, Buenos Aires National Wildlife Refuge, Forest Guardians, Altat Valley Conservation Alliance, Clifton Ranger District, Fort Huachuca Wildlife Office, San Bernardino and Leslie Canyon National Wildlife Refuge, Greenlee County, Turner Foundation/Ladder Ranch, Phelps Doge Mining Company, National Audubon Society, Turner Endagered Species Fund, US Army Corps of Engineers, Center for Biological Diversity, Apache Tribe, CEDES, Semarnat - Sonora, ",1,30
Abronia alpina,RAMSHAW MEADOWS SAND-VERBANA,"12/15/1980    45 FR 82480 (also was in the 7/1/1975 NOR, 40 FR 27824, ""Smithsonian Report"")",,2015,,,,,Flowering Plant,,,N/A,0,0
Collomia rawsoniana,RAWSONÕS FLAMING TRUMPET,6/13/2002      67 FR 40657,,1996,,,,,Flowering Plant,,,N/A,0,0
Lithobates onca,RELICT LEOPARD FROG,5/14/2008     (73 FR 27899),,2016,Y,2007,,,Flowering Plant,,,"USFWS,  Nevada Department of Wildlife",1,2
Oncorhynchus clarkii virginalis,RIO GRANDE CUTTHROAT TROUT,9/6/2001       66 FR 46575 (Proposed for listing; not a candidate species),,2014,Y,2013,2013,,Flowering Plant,,New Mexico Department of Game and Fish USFWS,"Colorado Parks and Wildlife (CPW), New Mexico Department of Game and Fish (NMDGF), USFS, USFWS, Mescalero Apache Nation, Jicarilla Apache Nation, Taos Pueblo, National Park Service (NPS), BLM,  Trout Unlimited, Vermejo Park Ranch, Colorado Division of Parks and Wildlife ",2,14
Euphydryas anicia cloudcrofti,SACRAMENTO MOUNTAINS CHECKERSPOT BUTTERFLY,12/15/1980    45 FR 82480,,2009,Y,2005,,,Flowering Plant,,USFWS,"Village of Cloudcroft, Otero County, Lincoln National Forest, USFWS, USFWS regional office, USFWS Ecological services New Mexico Field Office, USFS, Village of Cloudcroft",2,9
Lotus argophyllus adsurgens,SAN CLEMENTE ISLAND SILVER HOSACKIA,10/25/1999    64 FR 57534 (also former C2),,1996,,,,,Fish,,,N/A,0,0
" 
Chorizanthe parryi var fernandina",SAN FERNANDO VALLEY SPINEFLOWER,Category 2 candidate - 11/21/91 (56 FR 58829) until 1996,,2018,"?, Y",??,2017,,Flowering Plant,,,,0,0
Euphilotes pallescens arenamontana,SAND MOUNTAIN BLUE BUTTERFLY,"was in the 7/1/1975 NOR, 40 FR 27824, ""Smithsonian Report"")",,2007,,2019,,,Flowering Plant,,,,0,0
Dudleya blochmaniae insularis,SANTA ROSA ISLAND DUDLEYA,7/1/1975        40 FR 27924,,1997,,,,,Flowering Plant,,,N/A,0,0
Dudleya blochmaniae brevifolia,SHORT-LEAVED DUDLEYA,5/11/2005       70 FR 24870,,1996,"N, ? Y",2015,???,1995?,Amphibian,,,,0,0
Moxostoma sp 2,SICKLEFIN REDHORSE,2/21/1990      55 FR 6186,,2016,Y,2008,,,Amphibian,,,"North Carolina Wildlife Resources Commission, Duke Energy Carolinas, Eastern Band of Cherokee Indians, Tennessee Valley Authority, Georgia Department of Natural Resources, USFWS ",1,10
Lepidium papilliferum,SLICKSPOT PEPPERGRASS,#N/A,,2015,,link doesn't work,,,Flowering Plant,,,"Office of Species Conservation,  Idaho Department of Fish & Game,  Idaho Department of Lands,  Idaho Army National Guard,  Nongovernmental Cooperator Representative,  Nongovernmental Cooperator Representative, BLM",2,14
Potentilla basaltica,SOLDIER MEADOW CINQUEFOIL,37420,,2013,,???,date?,,Mammal,,,"BLM,  Nevada Division of Wildlife, USFWS",1,3
Urocitellus endemicus,SOUTHERN IDAHO GROUND SQUIRREL,10/30/2001      66 FR 54808,,2015,Y,2005,2002,,Flowering Plant,,"USFWS, Idaho Department of Fish and Game (JDFG), the Idaho Governor's Office of Species Conservation (OSC)","Idaho Department of Fish and Game (JDFG), Idaho Governor's Office of Species Conservation (OSC), USFWS, Soulen Livestock Company Inc. (Soulen Livestock).",2,7
Dudleya sp.,SP. NOV. INED. (MUNCHKIN) DUDLEYA,First proposed on 7/25/1995  60 FR 37993,,1997,N,2012,,,Flowering Plant,,,,0,0
Paysonia stonensis,STONES RIVER BLADDERPOD,"12/15/1980    45 FR 82480    (also was in the 7/1/1975 NOR, 40 FR 27824, ""Smithsonian Report"")",,1999,,,,,Flowering Plant,,,N/A,0,0
Eriogonum argophyllum,SULPHUR SPRINGS BUCKWHEAT,"12/15/1980    45 FR 82480 (also was in the 7/1/1975 NOR, 40 FR 27824, ""Smithsonian Report"")",,1999,,,,,Flowering Plant,,,N/A,0,0
Cirsium rhothophilum,SURF THISTLE,"12/15/1980    45 FR 82480 (also was in the 7/1/1975 NOR, 40 FR 27824, ""Smithsonian Report"")",,1997,,,,,Flowering Plant,,,N/A,0,0
Pseudanophthalmus inexpectatus,SURPRISING CAVE BEETLE,37194,,2007,,,,,Flowering Plant,,,N/A,0,0
Vulpes velox,SWIFT FOX,2/28/1996      61 FR 58453,,2001,N,2011,2015-16,,Amphibian,,,,0,0
Rorippa subumbellata,TAHOE YELLOW CRESS,12/27/2004    69 FR 77167,,2015,,2015,,,Flowering Plant,,,"California Department of Fish and Wildlife, California State Lands Commission, California Department of Parks and Recreation (California State Parks), California Tahoe Conservancy, League to Save Lake Tahoe, Nevada Division of Forestry, Nevada Division of State Lands, Nevada Division of State Parks, Nevada Natural Heritage Program, Tahoe Lakefront Owners’ Association, Tahoe Regional Planning Agency, USFWS, USFS, California Department of Fish and Wildlife, California State Lands Commission, California Department of Parks and Recreation (California State Parks), California Tahoe Conservancy, League to Save Lake Tahoe, Nevada Division of Forestry, Nevada Division of State Lands, Nevada Division of State Parks, Nevada Natural Heritage Program, Tahoe Lakefront Owners’ Association, Tahoe Regional Planning Agency",2,26
Castilleja elongata,TALL PAINTBRUSH,"2/21/1990        55 FR 6183  (also was in the 7/1/1975 NOR, 40 FR 27824, ""Smithsonian Report"")",,1998,,,,,Reptile,,,N/A,0,0
Delphinium variegatum thornei,THORNEÕS ROYAL LARKSPUR,"12/15/1980    45 FR 82480 (also was in the 7/1/1975 NOR, 40 FR 27824, ""Smithsonian Report"")",,1996,,,,,Reptile,,,N/A,0,0
Calochortus umpquaensis,UMPQUA MARIPOSA LILY,9/30/1993        58 FR 51144,,1999,Y,1995,,,Flowering Plant,,,"USDA, USFWS, BLM",1,3
Zaitzevia thermae,WARM SPRINGS ZAITZEVIAN RIFFLE BEETLE,11/15/1994      59 FR 58981,,2007,Y,2006,,,Flowering Plant,,,"USFWS,  Montana State University,  Montana Fish Wildlife & Parks",1,4
Urocitellus washingtoni,WASHINGTON GROUND SQUIRREL,10/25/1999   64 FR 57534,,2016,"Y, Y, N",2015,2003,2017,Flowering Plant,,,"Foster Creek Conservation District (FCCD), Threemile Canyon Farms, The Nature Conservancy,  General Electric, USFWS",2,7
Polemonium pectinatum,WASHINGTON JACOB'S-LADDER,"12/15/1980    45 FR 82480 (also was in the 7/1/1975 NOR, 40 FR 27824, ""Smithsonian Report"")",,1996,,,,,Flowering Plant,,,N/A,0,0
Nysius wekiuicola,WEKIU BUG,36458,,2011,Y,2000,,,Flowering Plant,,,,0,0
Delphinium viridescens,WENATCHEE LARKSPUR,"12/15/1980    45 FR 82480 (also was in the 7/1/1975 NOR, 40 FR 27824, ""Smithsonian Report"")",,1996,,,,,Flowering Plant,,,,0,0
Sonorella macrophallus,WET CANYON TALUSSNAIL,11/21/1991       56 FR 58804,,2001,Y,1999,,,Flowering Plant,,,"USDA Forest Service,  USFWS,  Arizona Game and Fish Department",1,3
Penstemon scariosus albifluvis,WHITE RIVER BEARDTONGUE,"Graham's: 07/01/1975 
40 FR 27924          White River:  11/28/1983 
48 FR 53640  ",,2014,?,Jul-14,,,Flowering Plant,,,"Uintah County, Rio Blanco County, the Utah School and Institutional Trust Lands Administration, Utah Governor’s Public Lands Policy Coordination Office, Utah Division of Wildlife Resources, BLM, FWS",1,6
Aliciella caespitosa,WONDERLAND ALICE-FLOWER,"12/15/1980    45 FR 82480 (also was in the 7/1/1975 NOR, 40 FR 27824, ""Smithsonian Report"")",,2006,?,2006,,,Flowering Plant,,,"U.S.D.A. Forest Service, National Park Service,  Utah State Office , USFWS, BLM",1,4
Synthliboramphus hypoleucus,XANTUS'S MURRELET,5/4/2004       (69 FR 24876),,2016,,,,,Flowering Plant,,,N/A,0,0
Solidago plumosa,YADKIN RIVER GOLDENROD,38483,,2013,?,July 2013? ,,,Flowering Plant,,,"Alcoa Power Generating Inc, USFWS",1,3
