"","partner.in.agreement","Scientific.name","Common.name","type_of_org","L_W_Man","Sp_Man","Awareness","law","livelihood_econ","ConD&P","Legal","R&M","Edu","IDevelopment","funding"
"88","Alcoa Power Generating Inc","Solidago plumosa","YADKIN RIVER GOLDENROD","C",1,0,1,0,0,0,0,1,0,1,0
"89","USFWS Service Asheville Field Office","Solidago plumosa","YADKIN RIVER GOLDENROD","USFWS",0,0,0,0,0,0,0,1,0,0,0
"90","BLM Dillon Field Office","Thymallus arcticus","ARCTIC GRAYLING- UPPER MISSOURI RIVER DPS","BLM",1,0,0,0,0,1,1,0,0,0,0
"91","BLM Utah State office","Cicindela albissima","CORAL PINK SAND DUNES TIGER BEETLE","BLM",0,0,0,0,0,0,0,0,0,0,0
"92","BLM","Sceloporus arenicolus","DUNES SAGEBRUSH LIZARD","BLM",0,0,0,0,0,0,1,1,0,0,0
"93","BLM","Phrynosoma mcallii","FLAT-TAILED HORNED LIZARD","BLM",1,0,0,0,0,1,0,0,0,0,0
"94","BLM","Astragalus anserinus","GOOSE CREEK MILKVETCH","BLM",1,1,0,0,0,0,0,0,0,0,1
"95","BLM","Pediocactus paradinei","KAIBAB PLAINS CACTUS","BLM",1,0,0,0,0,0,0,0,0,0,0
"96","BLM Provo Area Office","Iotichthys phlegethontis","LEAST CHUB","BLM",1,1,0,0,0,0,0,1,0,1,0
"97","BLM","Aliciella caespitosa","WONDERLAND ALICE-FLOWER","BLM",0,0,0,0,0,1,0,1,1,0,0
"98","Central Utah Water Conservancy District","Iotichthys phlegethontis","LEAST CHUB","C",1,0,0,0,0,1,0,0,0,1,0
"99","Southern Nevada Water Authority","Iotichthys phlegethontis","LEAST CHUB","C",1,0,0,0,0,1,0,0,0,1,0
"100","Sierra Pacific Industries","Oncorhynchus mykiss ssp.","MCCLOUD RIVER REDBAND TROUT","C",0,0,0,0,0,0,0,0,0,0,0
"101","Hearest Corporation","Oncorhynchus mykiss ssp.","MCCLOUD RIVER REDBAND TROUT","C",0,0,0,0,0,0,0,0,0,0,0
"102","John Hancock Mutual Life Insurace Company","Oncorhynchus mykiss ssp.","MCCLOUD RIVER REDBAND TROUT","C",0,0,0,0,0,0,0,0,0,0,0
"103","US Customs and Border Protection","Phacelia stellaris","BRAND'S PHACELIA","FO",1,1,0,0,0,0,0,1,0,1,0
"104","Bureau of Reclamation","Phrynosoma mcallii","FLAT-TAILED HORNED LIZARD","FO",0,0,0,0,0,0,0,0,0,0,0
"105","Bureau of Reclamation","Iotichthys phlegethontis","LEAST CHUB","FO",1,0,0,0,0,1,0,1,0,1,0
"106","Utah Reclamation Mitigation and Conservation Commission","Iotichthys phlegethontis","LEAST CHUB","FO",1,1,0,0,0,1,0,0,0,1,0
"107","NPS","Aliciella caespitosa","WONDERLAND ALICE-FLOWER","FO",0,0,0,0,0,1,0,1,1,0,0
"108","US Marine Corps","Phacelia stellaris","BRAND'S PHACELIA","M",1,0,0,0,0,0,0,1,0,0,0
"109","US Navy","Phacelia stellaris","BRAND'S PHACELIA","M",1,1,0,0,0,0,1,1,0,1,0
"110","Mississippi Army National Guard","Fallicambarus gordoni","CAMP SHELBY BURROWING CRAYFISH","M",0,0,0,0,0,0,0,0,0,0,0
"111","U.S. Marine Corps","Phrynosoma mcallii","FLAT-TAILED HORNED LIZARD","M",0,0,0,0,0,0,0,0,0,0,0
"112","U.S. Navy","Phrynosoma mcallii","FLAT-TAILED HORNED LIZARD","M",0,0,0,0,0,0,0,0,0,0,0
"113","Center of Excellence for Hazardous Materials Management (CEHMM)","Sceloporus arenicolus","DUNES SAGEBRUSH LIZARD","N",0,0,0,0,1,0,1,1,1,1,1
"114","Center of Excellence for Hazardous Materials Management (CEHMM)","Sceloporus arenicolus","DUNES SAGEBRUSH LIZARD","N",0,0,0,0,0,0,1,0,0,1,1
"115","The Nature Conservancy ","Urocitellus washingtoni","WASHINGTON GROUND SQUIRREL","N",1,0,0,0,0,1,0,1,0,1,0
"116","Mississippi Department of Wildlife, Fisheries and Parks - Mississippi Museum of Natural Sciences (MMNS)","Fallicambarus gordoni","CAMP SHELBY BURROWING CRAYFISH","R",0,0,0,0,0,0,0,0,0,0,0
"117","Confederated tribes of the goshute reservation","Iotichthys phlegethontis","LEAST CHUB","P",1,1,0,0,0,0,0,1,0,1,0
"118","Bob McIntsh (Private landowner)","Oncorhynchus mykiss ssp.","MCCLOUD RIVER REDBAND TROUT","P",0,0,0,0,0,0,0,0,0,0,0
"119","Montana State University","Zaitzevia thermae","WARM SPRINGS ZAITZEVIAN RIFFLE BEETLE","R",0,0,0,0,0,0,0,0,0,0,1
