"","BLM","FO","USFS","USFWS","P","SL","SG","R","M","C","SW","N"
"BLM",14,6,3,12,4,5,2,0,2,2,7,2
"FO",6,11,1,10,4,6,0,2,3,2,6,3
"USFS",3,1,12,12,1,0,3,1,1,1,4,0
"USFWS",12,10,12,34,11,10,6,3,4,5,18,6
"P",4,4,1,11,11,4,3,2,1,3,9,1
"SL",5,6,0,10,4,10,2,1,3,2,6,2
"SG",2,0,3,6,3,2,6,1,0,1,3,0
"R",0,2,1,3,2,1,1,4,1,1,1,0
"M",2,3,1,4,1,3,0,1,5,0,2,0
"C",2,2,1,5,3,2,1,1,0,5,4,1
"SW",7,6,4,18,9,6,3,1,2,4,18,4
"N",2,3,0,6,1,2,0,0,0,1,4,6
